# radius (m), temperature (K)
0.000000000000000000e+00 2.965427406694589990e+03 3.572844161320189819e+11 0.000000000000000000e+00
1.731216856259754059e+04 2.965639649800010375e+03 3.572771116192528687e+11 5.645008009153246881e-02
3.462433712519508117e+04 2.966275626712795656e+03 3.572552298224064331e+11 1.129001601830649376e-01
5.193650568779262539e+04 2.967334208827732709e+03 3.572188183536574707e+11 1.693502402745974134e-01
6.924867425039016234e+04 2.968814267539608863e+03 3.571679248251837158e+11 2.258003203661298752e-01
8.656084281298769929e+04 2.970714674243210993e+03 3.571025968491630859e+11 2.822504004576623093e-01
1.038730113755852508e+05 2.973034300333325973e+03 3.570228820377733154e+11 3.387004805491948267e-01
1.211851799381827877e+05 2.975772017204740678e+03 3.569288280031922607e+11 3.951505606407272886e-01
1.384973485007803247e+05 2.978926696252241982e+03 3.568204823575976562e+11 4.516006407322597505e-01
1.558095170633778616e+05 2.982497208870616760e+03 3.566978927131673584e+11 5.080507208237922123e-01
1.731216856259753986e+05 2.986482426454652341e+03 3.565611066820791626e+11 5.645008009153246187e-01
1.904338541885729355e+05 2.990881220399135600e+03 3.564101718765109253e+11 6.209508810068571361e-01
2.077460227511705016e+05 2.995692462098852957e+03 3.562451359086403198e+11 6.774009610983896534e-01
2.250581913137680385e+05 3.000915022948591741e+03 3.560660463906452637e+11 7.338510411899221708e-01
2.423703598763655755e+05 3.006547774343138826e+03 3.558729509347035522e+11 7.903011212814545772e-01
2.596825284389631124e+05 3.012589587677281543e+03 3.556658971529929810e+11 8.467512013729870946e-01
2.769946970015606494e+05 3.019039334345806310e+03 3.554449326576912842e+11 9.032012814645195009e-01
2.943068655641581863e+05 3.025895885743500003e+03 3.552101050609763794e+11 9.596513615560519073e-01
3.116190341267557233e+05 3.033158113265149950e+03 3.549614619750260010e+11 1.016101441647584425e+00
3.289312026893532602e+05 3.040824888305542572e+03 3.546990510120180054e+11 1.072551521739116831e+00
3.462433712519507972e+05 3.048895082259465653e+03 3.544229197841301270e+11 1.129001601830649237e+00
3.635555398145483341e+05 3.057367566521705612e+03 3.541331159035402222e+11 1.185451681922181866e+00
3.808677083771458711e+05 3.066241212487048870e+03 3.538296869824260864e+11 1.241901762013714272e+00
3.981798769397434080e+05 3.075514891550283664e+03 3.535126806329655151e+11 1.298351842105246678e+00
4.154920455023410032e+05 3.085187475106195507e+03 3.531821444673363647e+11 1.354801922196779307e+00
4.328042140649385401e+05 3.095257834549572635e+03 3.528381260977163696e+11 1.411252002288311713e+00
4.501163826275360771e+05 3.105724841275201015e+03 3.524806731362833252e+11 1.467702082379844342e+00
4.674285511901336140e+05 3.116587366677867976e+03 3.521098331952151489e+11 1.524152162471376748e+00
4.847407197527311509e+05 3.127844282152359938e+03 3.517256538866895142e+11 1.580602242562909154e+00
5.020528883153286879e+05 3.139494459093465139e+03 3.513281828228842773e+11 1.637052322654441561e+00
5.193650568779262248e+05 3.151536768895969089e+03 3.509174676159772949e+11 1.693502402745974189e+00
5.366772254405237036e+05 3.163970082954659574e+03 3.504935558781463013e+11 1.749952482837506373e+00
5.539893940031212987e+05 3.176793272664323467e+03 3.500564952215691528e+11 1.806402562929039002e+00
5.713015625657188939e+05 3.190005209419747189e+03 3.496063332584236450e+11 1.862852643020571630e+00
5.886137311283163726e+05 3.203604764615718068e+03 3.491431176008875732e+11 1.919302723112103815e+00
6.059258996909139678e+05 3.217590809647022979e+03 3.486668958611386719e+11 1.975752803203636443e+00
6.232380682535114465e+05 3.231962215908449252e+03 3.481777156513548584e+11 2.032202883295168849e+00
6.405502368161090417e+05 3.246717854794783307e+03 3.476756245837139282e+11 2.088652963386701256e+00
6.578624053787065204e+05 3.261856597700812017e+03 3.471606702703936157e+11 2.145103043478233662e+00
6.751745739413041156e+05 3.277377316021322258e+03 3.466329003235717773e+11 2.201553123569766512e+00
6.924867425039015943e+05 3.293278881151101814e+03 3.460923623554262085e+11 2.258003203661298475e+00
7.097989110664991895e+05 3.309560164484937104e+03 3.455391039781347046e+11 2.314453283752831325e+00
7.271110796290966682e+05 3.326220037417614549e+03 3.449731728038750610e+11 2.370903363844363732e+00
7.444232481916942634e+05 3.343257371343921932e+03 3.443946164448251343e+11 2.427353443935896138e+00
7.617354167542917421e+05 3.360671037658645218e+03 3.438034825131626587e+11 2.483803524027428544e+00
7.790475853168893373e+05 3.378459907756572647e+03 3.431998186210654907e+11 2.540253604118960951e+00
7.963597538794868160e+05 3.396622853032490184e+03 3.425836723807114258e+11 2.596703684210493357e+00
8.136719224420844112e+05 3.415158744881185157e+03 3.419550914042783203e+11 2.653153764302026207e+00
8.309840910046820063e+05 3.434066454697444442e+03 3.413141233039438477e+11 2.709603844393558614e+00
8.482962595672794851e+05 3.453344853876054458e+03 3.406608156918859253e+11 2.766053924485091020e+00
8.656084281298770802e+05 3.472992813811802989e+03 3.399952161802822876e+11 2.822504004576623426e+00
8.829205966924745589e+05 3.493009205899476910e+03 3.393173723813108521e+11 2.878954084668155833e+00
9.002327652550721541e+05 3.513392901533862187e+03 3.386273319071492920e+11 2.935404164759688683e+00
9.175449338176696328e+05 3.534142772109747057e+03 3.379251423699754639e+11 2.991854244851220646e+00
9.348571023802672280e+05 3.555257689021917486e+03 3.372108513819672241e+11 3.048304324942753496e+00
