# radius (m), temperature (K)
0.000000000000000000e+00 2.238420216875239930e+03 5.121721964262920380e+10 0.000000000000000000e+00
8.237194386811457662e+03 2.238511601221049659e+03 5.121648400376088715e+10 1.953998656668290423e-02
1.647438877362291532e+04 2.238778426148122890e+03 5.121427678735795593e+10 3.907997313336580847e-02
2.471158316043437299e+04 2.239210059677387562e+03 5.121059758287774658e+10 5.861995970004871270e-02
3.294877754724583065e+04 2.239796340947041244e+03 5.120544603171763611e+10 7.815994626673161694e-02
4.118597193405729195e+04 2.240527568898452046e+03 5.119882182688596344e+10 9.769993283341452117e-02
4.942316632086874597e+04 2.241394491082138302e+03 5.119072471267675018e+10 1.172399194000974254e-01
5.766036070768019999e+04 2.242388292583834300e+03 5.118115448434807587e+10 1.367799059667803019e-01
6.589755509449166129e+04 2.243500585070643410e+03 5.117011098780427551e+10 1.563198925334632339e-01
7.413474948130312259e+04 2.244723395957274533e+03 5.115759411928178406e+10 1.758598791001461381e-01
8.237194386811458389e+04 2.246049157692363679e+03 5.114360382503883362e+10 1.953998656668290423e-01
9.060913825492603064e+04 2.247470697164882949e+03 5.112814010104872894e+10 2.149398522335119188e-01
9.884633264173749194e+04 2.248981225230629661e+03 5.111120299269703674e+10 2.344798388001948508e-01
1.070835270285489532e+05 2.250574326358807411e+03 5.109279259448234558e+10 2.540198253668777273e-01
1.153207214153604000e+05 2.252243948398686371e+03 5.107290904972090149e+10 2.735598119335606038e-01
1.235579158021718613e+05 2.253984392466350528e+03 5.105155255025488281e+10 2.930997985002435358e-01
1.317951101889833226e+05 2.255790302951534159e+03 5.102872333616445160e+10 3.126397850669264677e-01
1.400323045757947839e+05 2.257656657644534789e+03 5.100442169548354340e+10 3.321797716336093442e-01
1.482694989626062452e+05 2.259578757983220839e+03 5.097864796391938782e+10 3.517197582002922762e-01
1.565066933494177065e+05 2.261552219420117581e+03 5.095140252457574463e+10 3.712597447669752082e-01
1.647438877362291678e+05 2.263572961909581409e+03 5.092268580767991638e+10 3.907997313336580847e-01
1.729810821230406000e+05 2.265637200515056975e+03 5.089249829031346893e+10 4.103397179003409612e-01
1.812182765098520613e+05 2.267741436136423999e+03 5.086084049614669800e+10 4.298797044670238376e-01
1.894554708966635226e+05 2.269882446357423305e+03 5.082771299517682648e+10 4.494196910337067696e-01
1.976926652834749839e+05 2.272057276413172076e+03 5.079311640346994019e+10 4.689596776003897016e-01
2.059298596702864452e+05 2.274263230277761977e+03 5.075705138290665436e+10 4.884996641670725781e-01
2.141670540570979065e+05 2.276497861871946043e+03 5.071951864093154907e+10 5.080396507337554546e-01
2.224042484439093678e+05 2.278758966390904789e+03 5.068051893030628204e+10 5.275796373004384421e-01
2.306414428307208000e+05 2.281044571752103366e+03 5.064005304886649323e+10 5.471196238671212075e-01
2.388786372175322613e+05 2.283352930163229757e+03 5.059812183928242493e+10 5.666596104338041950e-01
2.471158316043437226e+05 2.285682509810220836e+03 5.055472618882324982e+10 5.861995970004870715e-01
2.553530259911551839e+05 2.288031986665371278e+03 5.050986702912519073e+10 6.057395835671699480e-01
2.635902203779666452e+05 2.290400236415529434e+03 5.046354533596334076e+10 6.252795701338529355e-01
2.718274147647781065e+05 2.292786326510377876e+03 5.041576212902722168e+10 6.448195567005358120e-01
2.800646091515895678e+05 2.295189508330797707e+03 5.036651847170008850e+10 6.643595432672186885e-01
2.883018035384010291e+05 2.297609209477320746e+03 5.031581547084196472e+10 6.838995298339016760e-01
2.965389979252124904e+05 2.300045026178663193e+03 5.026365427657640076e+10 7.034395164005845524e-01
3.047761923120239517e+05 2.302496715820348527e+03 5.021003608208102417e+10 7.229795029672674289e-01
3.130133866988354130e+05 2.304964189593412812e+03 5.015496212338173676e+10 7.425194895339504164e-01
3.212505810856468743e+05 2.307447505263195126e+03 5.009843367915071869e+10 7.620594761006332929e-01
3.294877754724583356e+05 2.309946860058214952e+03 5.004045207050816345e+10 7.815994626673161694e-01
3.377249698592697387e+05 2.312462583679132422e+03 4.998101866082770538e+10 8.011394492339989348e-01
3.459621642460812000e+05 2.314995131427795968e+03 4.992013485554560852e+10 8.206794358006819223e-01
3.541993586328926613e+05 2.317545077456374202e+03 4.985780210197371674e+10 8.402194223673647988e-01
3.624365530197041226e+05 2.320113108136571554e+03 4.979402188911611176e+10 8.597594089340476753e-01
3.706737474065155839e+05 2.322700015548930878e+03 4.972879574748950195e+10 8.792993955007306628e-01
3.789109417933270452e+05 2.325306691092220717e+03 4.966212524894735718e+10 8.988393820674135393e-01
3.871481361801385065e+05 2.327934119212908172e+03 4.959401200650779724e+10 9.183793686340964157e-01
3.953853305669499678e+05 2.330583371254715530e+03 4.952445767418518829e+10 9.379193552007794032e-01
4.036225249537614291e+05 2.333255599428261576e+03 4.945346394682549286e+10 9.574593417674622797e-01
4.118597193405728904e+05 2.335952030900793034e+03 4.938103255994535065e+10 9.769993283341451562e-01
