# radius (m), temperature (K)
0.000000000000000000e+00 2.874061141538480115e+03 3.027960802601710205e+11 0.000000000000000000e+00
1.686564679405095376e+04 2.874243900706034310e+03 3.027896807812995605e+11 5.281841169596962482e-02
3.373129358810190752e+04 2.874791611814494900e+03 3.027705102817526245e+11 1.056368233919392496e-01
5.059694038215286128e+04 2.875703425272560253e+03 3.027386106671312866e+11 1.584552350879088745e-01
6.746258717620381503e+04 2.876978491488927375e+03 3.026940238430367432e+11 2.112736467838784993e-01
8.432823397025477607e+04 2.878615960872295091e+03 3.026367917150699463e+11 2.640920584798481241e-01
1.011938807643057226e+05 2.880614983831360405e+03 3.025669561888321533e+11 3.169104701758177489e-01
1.180595275583566690e+05 2.882974710774821688e+03 3.024845591699244385e+11 3.697288818717873182e-01
1.349251743524076301e+05 2.885694292111375944e+03 3.023896425639478149e+11 4.225472935677569986e-01
1.517908211464585911e+05 2.888772878249721543e+03 3.022822482765035400e+11 4.753657052637266234e-01
1.686564679405095521e+05 2.892209619598556401e+03 3.021624182131925659e+11 5.281841169596962482e-01
1.855221147345604841e+05 2.896003666566577976e+03 3.020301942796161499e+11 5.810025286556658175e-01
2.023877615286114451e+05 2.900154169562483730e+03 3.018856183813753052e+11 6.338209403516354978e-01
2.192534083226624061e+05 2.904660278994972487e+03 3.017287324240712280e+11 6.866393520476050671e-01
2.361190551167133381e+05 2.909521145272741251e+03 3.015595783133049316e+11 7.394577637435746365e-01
2.529847019107642991e+05 2.914735918804487937e+03 3.013781979546775513e+11 7.922761754395443168e-01
2.698503487048152601e+05 2.920303749998910462e+03 3.011846332537902222e+11 8.450945871355139971e-01
2.867159954988661921e+05 2.926223789264706284e+03 3.009789261162440796e+11 8.979129988314835664e-01
3.035816422929171822e+05 2.932495187010573773e+03 3.007611184476401367e+11 9.507314105274532468e-01
3.204472890869681141e+05 2.939117093645210389e+03 3.005312521535795898e+11 1.003549822223422705e+00
3.373129358810191043e+05 2.946088659577314047e+03 3.002893691396635132e+11 1.056368233919392496e+00
3.541785826750700362e+05 2.953409035215582207e+03 3.000355113114930420e+11 1.109186645615362066e+00
3.710442294691209681e+05 2.961077370968713240e+03 2.997697205746692505e+11 1.162005057311331635e+00
3.879098762631719583e+05 2.969092817245404603e+03 2.994920388347932739e+11 1.214823469007301426e+00
4.047755230572228902e+05 2.977454524454353759e+03 2.992025079974662476e+11 1.267641880703270996e+00
4.216411698512738221e+05 2.986161643004259076e+03 2.989011699682891846e+11 1.320460292399240565e+00
4.385068166453248123e+05 2.995213323303818470e+03 2.985880666528632812e+11 1.373278704095210134e+00
4.553724634393757442e+05 3.004608715761728945e+03 2.982632399567896118e+11 1.426097115791179704e+00
4.722381102334266761e+05 3.014346970786688871e+03 2.979267317856693115e+11 1.478915527487149273e+00
4.891037570274776663e+05 3.024427238787395709e+03 2.975785840451034546e+11 1.531733939183119064e+00
5.059694038215285982e+05 3.034848670172547372e+03 2.972188386406932373e+11 1.584552350879088634e+00
5.228350506155795883e+05 3.045610415350842231e+03 2.968475374780396118e+11 1.637370762575058425e+00
5.397006974096305203e+05 3.056711624730977292e+03 2.964647224627438354e+11 1.690189174271027994e+00
5.565663442036814522e+05 3.068151448721650468e+03 2.960704355004069214e+11 1.743007585966997564e+00
5.734319909977323841e+05 3.079929037731560129e+03 2.956647184966300049e+11 1.795825997662967133e+00
5.902976377917834325e+05 3.092043542169403281e+03 2.952476133570142822e+11 1.848644409358936924e+00
6.071632845858343644e+05 3.104494112443878294e+03 2.948191619871607056e+11 1.901462821054906494e+00
6.240289313798852963e+05 3.117279898963682626e+03 2.943794062926705322e+11 1.954281232750876063e+00
6.408945781739362283e+05 3.130400052137514194e+03 2.939283881791447144e+11 2.007099644446845410e+00
6.577602249679871602e+05 3.143853722374070912e+03 2.934661495521845093e+11 2.059918056142814979e+00
6.746258717620382085e+05 3.157640060082050695e+03 2.929927323173909912e+11 2.112736467838784993e+00
6.914915185560891405e+05 3.171758215670151003e+03 2.925081783803652344e+11 2.165554879534754562e+00
7.083571653501400724e+05 3.186207339547069296e+03 2.920125296467083740e+11 2.218373291230724131e+00
7.252228121441910043e+05 3.200986582121504398e+03 2.915058280220214844e+11 2.271191702926693701e+00
7.420884589382419363e+05 3.216095093802153315e+03 2.909881154119057007e+11 2.324010114622663270e+00
7.589541057322928682e+05 3.231532024997713961e+03 2.904594337219620972e+11 2.376828526318632839e+00
7.758197525263439165e+05 3.247296526116884252e+03 2.899198248577918701e+11 2.429646938014602853e+00
7.926853993203948485e+05 3.263387747568362101e+03 2.893693307249960327e+11 2.482465349710572422e+00
8.095510461144457804e+05 3.279804839760844516e+03 2.888079932291757202e+11 2.535283761406541991e+00
8.264166929084967123e+05 3.296546953103030319e+03 2.882358542759321289e+11 2.588102173102511561e+00
8.432823397025476443e+05 3.313613238003616971e+03 2.876529557708662109e+11 2.640920584798481130e+00
8.601479864965986926e+05 3.331002844871302386e+03 2.870593396195792236e+11 2.693738996494450699e+00
8.770136332906496245e+05 3.348714924114784026e+03 2.864550477276721802e+11 2.746557408190420269e+00
8.938792800847005565e+05 3.366748626142759804e+03 2.858401220007462769e+11 2.799375819886389838e+00
9.107449268787514884e+05 3.385103101363927635e+03 2.852146043444025269e+11 2.852194231582359407e+00
9.276105736728024203e+05 3.403777500186984980e+03 2.845785366642420654e+11 2.905012643278328976e+00
9.444762204668533523e+05 3.422770973020629754e+03 2.839319608658660889e+11 2.957831054974298546e+00
9.613418672609044006e+05 3.442082670273560325e+03 2.832749188548755493e+11 3.010649466670268559e+00
9.782075140549553325e+05 3.461711742354474154e+03 2.826074525368717041e+11 3.063467878366238129e+00
9.950731608490062645e+05 3.481657339672068247e+03 2.819296038174555664e+11 3.116286290062207698e+00
1.011938807643057196e+06 3.501918612635041427e+03 2.812414146022283325e+11 3.169104701758177267e+00
1.028804454437108128e+06 3.522494711652091155e+03 2.805429267967910156e+11 3.221923113454146836e+00
1.045670101231159177e+06 3.543384787131915346e+03 2.798341823067447510e+11 3.274741525150116850e+00
1.062535748025210109e+06 3.564587989483211004e+03 2.791152230376907349e+11 3.327559936846086419e+00
1.079401394819261041e+06 3.586103469114676955e+03 2.783860908952299194e+11 3.380378348542055988e+00
1.096267041613311972e+06 3.607930376435010658e+03 2.776468277849635620e+11 3.433196760238025558e+00
1.113132688407362904e+06 3.630067861852910028e+03 2.768974756124927368e+11 3.486015171933995127e+00
1.129998335201413836e+06 3.652515075777072070e+03 2.761380762834184570e+11 3.538833583629964696e+00
1.146863981995464768e+06 3.675271168616195610e+03 2.753686717033419800e+11 3.591651995325934266e+00
1.163729628789515700e+06 3.698335290778978106e+03 2.745893037778642883e+11 3.644470407021903391e+00
1.180595275583566865e+06 3.721706592674117474e+03 2.738000144125865479e+11 3.697288818717873848e+00
1.197460922377617797e+06 3.745384224710310718e+03 2.730008455131098938e+11 3.750107230413843418e+00
1.214326569171668729e+06 3.769367337296256665e+03 2.721918389850353699e+11 3.802925642109812987e+00
1.231192215965719661e+06 3.793655080840652317e+03 2.713730367339641418e+11 3.855744053805782556e+00
1.248057862759770593e+06 3.818246605752196047e+03 2.705444806654972839e+11 3.908562465501752126e+00
1.264923509553821525e+06 3.843141062439584857e+03 2.697062126852359314e+11 3.961380877197721695e+00
1.281789156347872457e+06 3.868337601311517574e+03 2.688582746987811890e+11 4.014199288893690820e+00
1.298654803141923388e+06 3.893835372776691656e+03 2.680007086117341309e+11 4.067017700589660834e+00
1.315520449935974320e+06 3.919633527243804565e+03 2.671335563296959229e+11 4.119836112285629959e+00
1.332386096730025252e+06 3.945731215121553760e+03 2.662568597582676392e+11 4.172654523981599972e+00
1.349251743524076417e+06 3.972127586818638520e+03 2.653706608030503540e+11 4.225472935677569986e+00
1.366117390318127349e+06 3.998821792743755395e+03 2.644750013696452637e+11 4.278291347373539999e+00
1.382983037112178281e+06 4.025812983305601847e+03 2.635699233636534119e+11 4.331109759069509124e+00
1.399848683906229213e+06 4.053100308912877153e+03 2.626554686906759338e+11 4.383928170765479138e+00
1.416714330700280145e+06 4.080682919974277866e+03 2.617316792563139343e+11 4.436746582461448263e+00
1.433579977494331077e+06 4.108559966898501443e+03 2.607985969661685181e+11 4.489564994157418276e+00
1.450445624288382009e+06 4.136730600094247166e+03 2.598562637258408203e+11 4.542383405853387401e+00
1.467311271082432941e+06 4.165193969970212493e+03 2.589047214409319153e+11 4.595201817549357415e+00
1.484176917876483873e+06 4.193949226935093975e+03 2.579440120170429077e+11 4.648020229245326540e+00
1.501042564670534804e+06 4.222995521397589982e+03 2.569741773597749329e+11 4.700838640941296553e+00
1.517908211464585736e+06 4.252332003766398884e+03 2.559952593747290955e+11 4.753657052637265679e+00
1.534773858258636901e+06 4.281957824450219050e+03 2.550072999675064697e+11 4.806475464333235692e+00
1.551639505052687833e+06 4.311872133857746121e+03 2.540103410437082520e+11 4.859293876029205705e+00
1.568505151846738765e+06 4.342074082397679376e+03 2.530044245089354553e+11 4.912112287725174831e+00
1.585370798640789697e+06 4.372562820478717185e+03 2.519895922687892456e+11 4.964930699421144844e+00
1.602236445434840629e+06 4.403337498509555189e+03 2.509658862288707275e+11 5.017749111117113969e+00
1.619102092228891561e+06 4.434397266898893577e+03 2.499333482947809753e+11 5.070567522813083983e+00
1.635967739022942493e+06 4.465741276055427988e+03 2.488920203721211243e+11 5.123385934509053108e+00
1.652833385816993425e+06 4.497368676387857704e+03 2.478419443664923096e+11 5.176204346205023121e+00
1.669699032611044357e+06 4.529278618304880183e+03 2.467831621834955750e+11 5.229022757900992247e+00
1.686564679405095289e+06 4.561470252215193796e+03 2.457157157287320862e+11 5.281841169596962260e+00
1.703430326199146220e+06 4.593942728527495092e+03 2.446396469078029175e+11 5.334659581292931385e+00
1.720295972993197385e+06 4.626695197650482442e+03 2.435549976263092041e+11 5.387477992988901399e+00
1.737161619787248317e+06 4.659726809992854214e+03 2.424618097898520508e+11 5.440296404684871412e+00
