# radius (m), temperature (K)
0.000000000000000000e+00 2.001198582962650107e+03 1.951770180320309997e+08 0.000000000000000000e+00
3.991126086096954850e+02 2.001198889939122409e+03 1.951759264424396455e+08 7.808686488150522404e-04
7.982252172193909701e+02 2.001199810155146224e+03 1.951726516901018620e+08 1.561737297630104481e-03
1.197337825829086341e+03 2.001201342540632368e+03 1.951671937996720374e+08 2.342605946445156830e-03
1.596450434438781940e+03 2.001203486025491202e+03 1.951595527958045602e+08 3.123474595260208962e-03
1.995563043048477539e+03 2.001206239539633316e+03 1.951497287031537890e+08 3.904343244075261527e-03
2.394675651658172683e+03 2.001209602012969526e+03 1.951377215463741720e+08 4.685211892890313659e-03
2.793788260267868282e+03 2.001213572375410195e+03 1.951235313501200378e+08 5.466080541705365357e-03
3.192900868877563880e+03 2.001218149556866138e+03 1.951071581390458345e+08 6.246949190520417923e-03
3.592013477487259479e+03 2.001223332487247717e+03 1.950886019378058910e+08 7.027817839335470489e-03
3.991126086096955078e+03 2.001229120096465522e+03 1.950678627710546553e+08 7.808686488150523054e-03
4.390238694706650676e+03 2.001235511314430141e+03 1.950449406634464562e+08 8.589555136965576487e-03
4.789351303316345366e+03 2.001242505071052392e+03 1.950198356396357417e+08 9.370423785780627318e-03
5.188463911926040964e+03 2.001250100296242636e+03 1.949925477242768407e+08 1.015129243459567815e-02
5.587576520535736563e+03 2.001258295919911461e+03 1.949630769420242012e+08 1.093216108341073071e-02
5.986689129145432162e+03 2.001267090871969458e+03 1.949314233175321817e+08 1.171302973222578328e-02
6.385801737755127760e+03 2.001276484082327443e+03 1.948975868754551709e+08 1.249389838104083585e-02
6.784914346364823359e+03 2.001286474480895777e+03 1.948615676404475570e+08 1.327476702985588841e-02
7.184026954974518958e+03 2.001297060997585049e+03 1.948233656371637285e+08 1.405563567867094098e-02
7.583139563584214557e+03 2.001308242562305850e+03 1.947829808902581036e+08 1.483650432748599354e-02
7.982252172193910155e+03 2.001320018104968767e+03 1.947404134243850112e+08 1.561737297630104611e-02
8.381364780803605754e+03 2.001332386555484618e+03 1.946956632641988993e+08 1.639824162511609867e-02
8.780477389413301353e+03 2.001345346843763537e+03 1.946487304343541563e+08 1.717911027393115297e-02
9.179589998022996951e+03 2.001358897899716567e+03 1.945996149595051408e+08 1.795997892274620381e-02
9.578702606632690731e+03 2.001373038653254071e+03 1.945483168643062413e+08 1.874084757156125464e-02
9.977815215242386330e+03 2.001387768034286637e+03 1.944948361734118462e+08 1.952171622037630547e-02
1.037692782385208193e+04 2.001403084972724855e+03 1.944391729114763737e+08 2.030258486919135630e-02
1.077604043246177753e+04 2.001418988398479314e+03 1.943813271031541824e+08 2.108345351800641060e-02
1.117515304107147313e+04 2.001435477241460603e+03 1.943212987730996907e+08 2.186432216682146143e-02
1.157426564968116872e+04 2.001452550431579311e+03 1.942590879459672570e+08 2.264519081563651573e-02
1.197337825829086432e+04 2.001470206898746255e+03 1.941946946464112997e+08 2.342605946445156656e-02
1.237249086690055992e+04 2.001488445572871569e+03 1.941281188990861773e+08 2.420692811326662086e-02
1.277160347551025552e+04 2.001507265383866070e+03 1.940593607286462784e+08 2.498779676208167169e-02
1.317071608411995112e+04 2.001526665261640346e+03 1.939884201597460508e+08 2.576866541089672599e-02
1.356982869272964672e+04 2.001546644136105215e+03 1.939152972170398235e+08 2.654953405971177682e-02
1.396894130133934232e+04 2.001567200937170810e+03 1.938399919251819849e+08 2.733040270852683112e-02
1.436805390994903792e+04 2.001588334594747948e+03 1.937625043088269532e+08 2.811127135734188195e-02
1.476716651855873351e+04 2.001610044038747219e+03 1.936828343926291168e+08 2.889214000615693625e-02
1.516627912716842911e+04 2.001632328199079211e+03 1.936009822012428641e+08 2.967300865497198709e-02
1.556539173577812471e+04 2.001655186005654286e+03 1.935169477593225539e+08 3.045387730378704139e-02
1.596450434438782031e+04 2.001678616388383489e+03 1.934307310915226042e+08 3.123474595260209222e-02
1.636361695299751409e+04 2.001702618277177180e+03 1.933423322224973738e+08 3.201561460141714305e-02
1.676272956160721151e+04 2.001727190601945722e+03 1.932517511769013107e+08 3.279648325023219735e-02
1.716184217021690711e+04 2.001752332292599931e+03 1.931589879793887436e+08 3.357735189904725165e-02
1.756095477882660271e+04 2.001778042279050624e+03 1.930640426546140909e+08 3.435822054786230595e-02
1.796006738743629830e+04 2.001804319491207707e+03 1.929669152272317410e+08 3.513908919667735331e-02
1.835917999604599390e+04 2.001831162858982452e+03 1.928676057218960822e+08 3.591995784549240761e-02
1.875829260465568950e+04 2.001858571312285221e+03 1.927661141632615030e+08 3.670082649430746191e-02
1.915740521326538146e+04 2.001886543781026376e+03 1.926624405759823918e+08 3.748169514312250927e-02
1.955651782187507706e+04 2.001915079195116732e+03 1.925565849847131073e+08 3.826256379193755663e-02
1.995563043048477266e+04 2.001944176484466880e+03 1.924485474141080976e+08 3.904343244075261093e-02
2.035474303909446826e+04 2.001973834578987180e+03 1.923383278888217211e+08 3.982430108956766523e-02
2.075385564770416386e+04 2.002004052408588450e+03 1.922259264335083663e+08 4.060516973838271260e-02
